dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
haberman,5,0.919,0.78,0.729,0.967,0.961,0.795,0.261,0.268,0.16,0.354,0.327,0.203,0.542,0.975,0.897,0.475,0.713,0.02,0.02,1.0,0.171,0.371
haberman,6,0.9,0.704,0.684,0.967,0.961,0.751,0.268,0.255,0.16,0.379,0.34,0.261,0.549,0.975,0.889,0.41,0.711,0.02,0.02,1.0,0.161,0.354
haberman,7,0.773,0.556,0.562,0.882,0.876,0.689,0.248,0.248,0.183,0.355,0.373,0.196,0.549,0.969,0.931,0.525,0.767,0.02,0.02,1.0,0.171,0.371
haberman,8,0.918,0.753,0.603,0.967,0.961,0.798,0.281,0.281,0.176,0.373,0.34,0.288,0.569,0.972,0.91,0.449,0.741,0.02,0.02,1.0,0.161,0.354
haberman,9,0.75,0.532,0.378,0.922,0.915,0.635,0.222,0.203,0.141,0.353,0.288,0.19,0.503,0.975,0.884,0.405,0.663,0.02,0.02,1.0,0.171,0.371
heart,0,0.559,0.188,0.197,0.948,0.837,0.078,0.141,0.141,0.207,0.429,0.43,0.267,0.756,0.981,0.978,0.702,0.89,0.096,0.022,0.231,0.009,0.024
heart,1,0.49,0.118,0.156,0.852,0.674,0.034,0.133,0.059,0.189,0.397,0.37,0.274,0.704,0.975,0.966,0.661,0.829,0.096,0.022,0.231,0.009,0.024
heart,2,0.57,0.151,0.257,0.941,0.874,0.071,0.126,0.119,0.207,0.426,0.415,0.2,0.77,0.979,0.969,0.666,0.888,0.096,0.022,0.231,0.009,0.024
heart,3,0.563,0.169,0.066,0.926,0.674,0.062,0.133,0.059,0.204,0.419,0.452,0.281,0.763,0.978,0.972,0.703,0.89,0.096,0.022,0.231,0.009,0.024
heart,4,0.502,0.141,0.277,0.911,0.696,0.058,0.104,0.074,0.204,0.42,0.422,0.252,0.778,0.98,0.985,0.751,0.934,0.096,0.022,0.231,0.009,0.024
heart,5,0.592,0.173,0.096,0.911,0.83,0.066,0.148,0.089,0.193,0.412,0.378,0.185,0.77,0.98,0.964,0.598,0.86,0.096,0.022,0.231,0.009,0.024
heart,6,0.471,0.133,0.112,0.926,0.793,0.05,0.119,0.089,0.156,0.403,0.281,0.274,0.726,0.975,0.967,0.623,0.877,0.096,0.022,0.231,0.009,0.024
heart,7,0.613,0.174,0.305,0.948,0.867,0.057,0.141,0.141,0.222,0.43,0.496,0.23,0.837,0.983,0.98,0.722,0.908,0.096,0.022,0.231,0.009,0.024
heart,8,0.498,0.123,0.193,0.881,0.807,0.065,0.096,0.037,0.193,0.407,0.407,0.215,0.77,0.977,0.969,0.656,0.878,0.096,0.022,0.231,0.009,0.024
heart,9,0.634,0.191,0.095,0.941,0.793,0.066,0.156,0.133,0.207,0.4,0.393,0.304,0.748,0.978,0.978,0.682,0.9,0.096,0.022,0.231,0.009,0.024
ionosphere,0,0.559,0.096,0.0,0.794,0.0,0.002,0.034,0.0,0.091,0.379,0.171,0.171,0.434,0.908,0.906,0.469,0.743,0.194,0.12,0.618,0.057,0.145
ionosphere,1,0.494,0.087,0.0,0.818,0.0,0.004,0.051,0.017,0.071,0.364,0.131,0.176,0.466,0.851,0.908,0.498,0.726,0.193,0.119,0.618,0.059,0.149
ionosphere,2,0.559,0.105,0.0,0.794,0.0,0.007,0.063,0.029,0.094,0.383,0.183,0.114,0.434,0.897,0.895,0.483,0.71,0.194,0.12,0.618,0.057,0.145
ionosphere,3,0.554,0.096,0.0,0.795,0.0,0.002,0.034,0.017,0.091,0.357,0.165,0.193,0.449,0.867,0.913,0.478,0.747,0.193,0.114,0.588,0.059,0.149
ionosphere,4,0.559,0.101,0.0,0.8,0.0,0.006,0.046,0.011,0.08,0.38,0.166,0.137,0.509,0.911,0.919,0.531,0.748,0.194,0.12,0.618,0.057,0.145
ionosphere,5,0.519,0.095,0.0,0.812,0.074,0.003,0.045,0.023,0.074,0.355,0.131,0.165,0.443,0.877,0.891,0.413,0.704,0.193,0.114,0.588,0.059,0.149
ionosphere,6,0.532,0.089,0.0,0.789,0.011,0.003,0.029,0.017,0.083,0.375,0.154,0.171,0.457,0.899,0.909,0.474,0.741,0.194,0.12,0.618,0.057,0.145
ionosphere,7,0.611,0.096,0.0,0.83,0.0,0.005,0.057,0.028,0.085,0.368,0.142,0.153,0.426,0.891,0.888,0.466,0.7,0.193,0.119,0.618,0.059,0.149
ionosphere,8,0.562,0.087,0.0,0.8,0.0,0.006,0.046,0.023,0.094,0.367,0.177,0.171,0.486,0.883,0.916,0.489,0.746,0.194,0.12,0.618,0.057,0.145
ionosphere,9,0.575,0.103,0.0,0.807,0.011,0.002,0.034,0.006,0.08,0.371,0.153,0.17,0.466,0.902,0.913,0.506,0.739,0.193,0.119,0.618,0.059,0.149
liver,0,0.94,0.594,0.03,0.936,0.808,0.493,0.297,0.256,0.177,0.415,0.384,0.273,0.802,0.984,0.885,0.418,0.794,0.035,0.017,0.5,0.019,0.052
